Month,Year,Rainfall,WPI,type
4,2012,47.5,97.1,0
5,2012,31.7,99.7,0
6,2012,117.8,101.6,0
7,2012,250.2,108.6,0
8,2012,262.4,115.6,0
9,2012,193.5,118.6,0
10,2012,58.7,116.3,0
11,2012,30.7,114.4,0
12,2012,11.7,110.2,0
1,2013,11.3,109.1,0
2,2013,40.1,110.6,0
3,2013,15.7,116.3,0
4,2013,30.4,118.1,0
5,2013,57.8,118.2,0
6,2013,219.8,117.7,0
7,2013,310.0,116.5,0
8,2013,254.7,116.7,0
9,2013,152.7,117.2,0
10,2013,129.4,118.4,0
11,2013,14.0,119.0,0
12,2013,6.7,118.4,0
1,2014,19.2,118.1,0
2,2014,27.4,118.4,0
3,2014,36.1,119.0,0
4,2014,22.2,120.6,0
5,2014,72.9,121.0,0
6,2014,95.4,120.1,0
7,2014,261.2,122.2,0
8,2014,237.5,126.8,0
9,2014,188.0,126.5,0
10,2014,60.2,126.3,0
11,2014,14.4,127.7,0
12,2014,10.7,128.2,0
1,2015,17.4,134.3,0
2,2015,21.0,139.1,0
3,2015,62.0,144.8,0
4,2015,69.4,148.4,0
5,2015,53.8,157.3,0
6,2015,192.8,173.7,0
7,2015,242.4,174.8,0
8,2015,205.2,185.5,0
9,2015,131.8,196.9,0
10,2015,42.9,219.0,0
11,2015,39.4,217.1,0
12,2015,15.0,222.8,0
1,2016,19.3,215.8,0
2,2016,22.8,205.5,0
3,2016,27.6,201.2,0
4,2016,37.4,217.5,0
5,2016,62.6,216.8,0
6,2016,168.3,217.2,0
7,2016,289.1,215.1,0
8,2016,256.3,195.0,0
9,2016,171.9,184.6,0
10,2016,76.1,182.4,0
11,2016,29.7,178.9,0
12,2016,14.9,166.0,0
1,2017,19.0,140.7,0
2,2017,22.6,133.1,0
3,2017,27.8,126.0,0
4,2017,37.9,127.2,0
5,2017,62.4,121.6,0
6,2017,168.1,118.3,0
7,2017,289.3,114.1,0
8,2017,256.2,115.4,0
9,2017,171.5,118.4,0
10,2017,76.3,113.8,0
11,2017,29.9,111.6,0
12,2017,15.0,112.6,0
1,2018,19.2,114.9,0
2,2018,20.1,116.5,0
3,2018,27.1,116.6,0
4,2018,40.2,115.3,0
5,2018,62.7,115.9,0
6,2018,165.0,113.2,0
7,2018,286.3,111.2,0
8,2018,254.3,110.8,0
9,2018,171.9,110.8,0
10,2018,77.2,109.4,0
11,2018,28.1,114.0,0
12,2018,14.1,123.9,0
