Month,Year,Rainfall,WPI,type
4,2012,47.5,104.6,7
5,2012,31.7,105.4,7
6,2012,117.8,104.4,7
7,2012,250.2,105.8,7
8,2012,262.4,116.0,7
9,2012,193.5,119.4,7
10,2012,58.7,117.4,7
11,2012,30.7,120.7,7
12,2012,11.7,121.7,7
1,2013,11.3,121.6,7
2,2013,40.1,123.6,7
3,2013,15.7,122.8,7
4,2013,30.4,120.1,7
5,2013,57.8,118.9,7
6,2013,219.8,121.9,7
7,2013,310.0,122.3,7
8,2013,254.7,123.1,7
9,2013,152.7,124.6,7
10,2013,129.4,125.7,7
11,2013,14.0,127.6,7
12,2013,6.7,128.6,7
1,2014,19.2,130.0,7
2,2014,27.4,128.8,7
3,2014,36.1,127.5,7
4,2014,22.2,123.5,7
5,2014,72.9,120.9,7
6,2014,95.4,120.4,7
7,2014,261.2,121.9,7
8,2014,237.5,122.5,7
9,2014,188.0,121.8,7
10,2014,60.2,122.3,7
11,2014,14.4,123.7,7
12,2014,10.7,125.8,7
1,2015,17.4,126.3,7
2,2015,21.0,125.9,7
3,2015,62.0,125.9,7
4,2015,69.4,125.1,7
5,2015,53.8,124.1,7
6,2015,192.8,122.3,7
7,2015,242.4,124.8,7
8,2015,205.2,126.1,7
9,2015,131.8,126.2,7
10,2015,42.9,128.5,7
11,2015,39.4,129.9,7
12,2015,15.0,131.9,7
1,2016,19.3,134.1,7
2,2016,22.8,134.1,7
3,2016,27.6,134.1,7
4,2016,37.4,132.9,7
5,2016,62.6,134.5,7
6,2016,168.3,136.5,7
7,2016,289.1,137.9,7
8,2016,256.3,139.1,7
9,2016,171.9,140.0,7
10,2016,76.1,140.8,7
11,2016,29.7,147.9,7
12,2016,14.9,152.3,7
1,2017,19.0,151.3,7
2,2017,22.6,149.3,7
3,2017,27.8,142.9,7
4,2017,37.9,141.0,7
5,2017,62.4,137.5,7
6,2017,168.1,136.1,7
7,2017,289.3,136.3,7
8,2017,256.2,137.1,7
9,2017,171.5,137.6,7
10,2017,76.3,138.0,7
11,2017,29.9,139.4,7
12,2017,15.0,139.4,7
1,2018,19.2,140.8,7
2,2018,20.1,140.0,7
3,2018,27.1,141.2,7
4,2018,40.2,140.9,7
5,2018,62.7,141.7,7
6,2018,165.0,143.1,7
7,2018,286.3,145.0,7
8,2018,254.3,148.6,7
9,2018,171.9,149.8,7
10,2018,77.2,151.1,7
11,2018,28.1,152.2,7
12,2018,14.1,152.8,7
